variable,value
jan-fev-mar 2012,8
fev-mar-abr 2012,7.8
mar-abr-mai 2012,7.7
abr-mai-jun 2012,7.6
mai-jun-jul 2012,7.5
jun-jul-ago 2012,7.4
jul-ago-set 2012,7.1
ago-set-out 2012,7
set-out-nov 2012,6.8
out-nov-dez 2012,6.9
nov-dez-jan 2013,7.3
dez-jan-fev 2013,7.8
jan-fev-mar 2013,8.1
fev-mar-abr 2013,7.9
mar-abr-mai 2013,7.7
abr-mai-jun 2013,7.5
mai-jun-jul 2013,7.4
jun-jul-ago 2013,7.2
jul-ago-set 2013,7
ago-set-out 2013,6.8
set-out-nov 2013,6.6
out-nov-dez 2013,6.3
nov-dez-jan 2014,6.5
dez-jan-fev 2014,6.8
jan-fev-mar 2014,7.2
fev-mar-abr 2014,7.2
mar-abr-mai 2014,7.1
abr-mai-jun 2014,6.9
mai-jun-jul 2014,7
jun-jul-ago 2014,7
jul-ago-set 2014,6.9
ago-set-out 2014,6.7
set-out-nov 2014,6.6
out-nov-dez 2014,6.6
nov-dez-jan 2015,6.9
dez-jan-fev 2015,7.5
jan-fev-mar 2015,8
fev-mar-abr 2015,8.1
mar-abr-mai 2015,8.3
abr-mai-jun 2015,8.4
mai-jun-jul 2015,8.7
jun-jul-ago 2015,8.9
jul-ago-set 2015,9
ago-set-out 2015,9.1
set-out-nov 2015,9.1
out-nov-dez 2015,9.1
nov-dez-jan 2016,9.6
dez-jan-fev 2016,10.3
jan-fev-mar 2016,11.1
fev-mar-abr 2016,11.3
mar-abr-mai 2016,11.3
abr-mai-jun 2016,11.4
mai-jun-jul 2016,11.7
jun-jul-ago 2016,11.9
jul-ago-set 2016,11.9
ago-set-out 2016,11.9
set-out-nov 2016,12
out-nov-dez 2016,12.2
nov-dez-jan 2017,12.7
dez-jan-fev 2017,13.3
jan-fev-mar 2017,13.9
fev-mar-abr 2017,13.7
mar-abr-mai 2017,13.4
abr-mai-jun 2017,13.1
mai-jun-jul 2017,12.9
jun-jul-ago 2017,12.7
jul-ago-set 2017,12.5
ago-set-out 2017,12.3
set-out-nov 2017,12.1
out-nov-dez 2017,11.9
nov-dez-jan 2018,12.3
dez-jan-fev 2018,12.7
jan-fev-mar 2018,13.2
fev-mar-abr 2018,13
mar-abr-mai 2018,12.8
abr-mai-jun 2018,12.6
mai-jun-jul 2018,12.4
jun-jul-ago 2018,12.3
jul-ago-set 2018,12
ago-set-out 2018,11.9
set-out-nov 2018,11.7
out-nov-dez 2018,11.7
nov-dez-jan 2019,12.2
dez-jan-fev 2019,12.6
jan-fev-mar 2019,12.8
fev-mar-abr 2019,12.6
mar-abr-mai 2019,12.4
abr-mai-jun 2019,12.1
mai-jun-jul 2019,12
jun-jul-ago 2019,11.9
jul-ago-set 2019,11.9
ago-set-out 2019,11.8
set-out-nov 2019,11.3
out-nov-dez 2019,11.1
nov-dez-jan 2020,11.4
dez-jan-fev 2020,11.8
jan-fev-mar 2020,12.4
fev-mar-abr 2020,12.7
mar-abr-mai 2020,13.1
abr-mai-jun 2020,13.6
mai-jun-jul 2020,14.1
jun-jul-ago 2020,14.8
jul-ago-set 2020,14.9
ago-set-out 2020,14.6
set-out-nov 2020,14.4
out-nov-dez 2020,14.2
nov-dez-jan 2021,14.5
dez-jan-fev 2021,14.6
jan-fev-mar 2021,14.9
fev-mar-abr 2021,14.8
mar-abr-mai 2021,14.7
abr-mai-jun 2021,14.2
mai-jun-jul 2021,13.7
jun-jul-ago 2021,13.1
jul-ago-set 2021,12.6
ago-set-out 2021,12.1
set-out-nov 2021,11.6
out-nov-dez 2021,11.1
nov-dez-jan 2022,11.2
dez-jan-fev 2022,11.2
jan-fev-mar 2022,11.1
fev-mar-abr 2022,10.5
mar-abr-mai 2022,9.8
abr-mai-jun 2022,9.3
mai-jun-jul 2022,9.1
jun-jul-ago 2022,8.9
jul-ago-set 2022,8.7
ago-set-out 2022,8.3
set-out-nov 2022,8.1
out-nov-dez 2022,7.9
nov-dez-jan 2023,8.4
dez-jan-fev 2023,8.6
jan-fev-mar 2023,8.8
fev-mar-abr 2023,8.5
mar-abr-mai 2023,8.3
abr-mai-jun 2023,8
mai-jun-jul 2023,7.9
jun-jul-ago 2023,7.8
jul-ago-set 2023,7.7
ago-set-out 2023,7.6
set-out-nov 2023,7.5
out-nov-dez 2023,7.4
nov-dez-jan 2024,7.6
dez-jan-fev 2024,7.8
jan-fev-mar 2024,7.9
fev-mar-abr 2024,7.5
