Fluxo,Ano,Países,Valor US$ FOB
Importação ,2024,China,23363984335
Importação ,2024,Estados Unidos,16121746512
Importação ,2024,Alemanha,5632960554
Importação ,2024,Argentina,5064184407
Importação ,2024,Rússia,4198159698
Importação ,2024,Itália,2618093995
Importação ,2024,França,2475290602
Importação ,2024,Índia,2346646089
Importação ,2024,México,2222970020
Importação ,2024,Japão,2145166526
Importação ,2024,Coreia do Sul,2124921811
Importação ,2024,Chile,1960455827
Importação ,2024,Espanha,1653733069
Importação ,2024,Vietnã,1552472989
Importação ,2024,Paraguai,1422963827
Importação ,2024,Suíça,1361752106
Importação ,2024,Arábia Saudita,1259770945
Importação ,2024,Reino Unido,1161454135
Importação ,2024,Canadá,1107883634
Importação ,2024,Países Baixos (Holanda),1089424666
Importação ,2024,Taiwan (Formosa),1081271658
Importação ,2024,Tailândia,979473836
Importação ,2024,Suécia,945292611
Importação ,2024,Uruguai,922708049
Importação ,2024,Colômbia,846674427
Importação ,2024,Bélgica,704071871
Importação ,2024,Austrália,687791099
Importação ,2024,Indonésia,686302911
Importação ,2024,Dinamarca,655454085
Importação ,2024,Malásia,632309910
Importação ,2024,Bolívia,625565551
Importação ,2024,Áustria,614457381
Importação ,2024,Peru,599251986
Importação ,2024,Portugal,565278777
Importação ,2024,Irlanda,565065338
Importação ,2024,Argélia,540965491
Importação ,2024,Turquia,500127517
Importação ,2024,Hong Kong,453623260
Importação ,2024,Nigéria,446981740
Importação ,2024,Noruega,446664439
Importação ,2024,Israel,437786519
Importação ,2024,Angola,415409201
Importação ,2024,Emirados Árabes Unidos,405676619
Importação ,2024,Polônia,404999426
Importação ,2024,Marrocos,404080407
Importação ,2024,Guiana,400038066
Importação ,2024,Coveite (Kuweit),343494520
Importação ,2024,Singapura,335522475
Importação ,2024,Gabão,325406033
Importação ,2024,Porto Rico,323725092
Importação ,2024,Gana,319033382
Importação ,2024,"Tcheca, República",301217329
Importação ,2024,Finlândia,294761860
Importação ,2024,África do Sul,270148418
Importação ,2024,Egito,259649550
Importação ,2024,Omã,246861036
Importação ,2024,Hungria,239521180
Importação ,2024,Catar,227832633
Importação ,2024,Venezuela,197607744
Importação ,2024,Uzbequistão,196274633
Importação ,2024,Brasil,178526247
Importação ,2024,Eslováquia,167820114
Importação ,2024,Romênia,155804052
Importação ,2024,Trinidad e Tobago,128607159
Importação ,2024,Costa do Marfim,123869606
Importação ,2024,Filipinas,120188167
