Date,Open,High,Low,Close,Adj Close,Volume
2019-06-03,97.639999,97.800003,96.459999,96.610001,96.610001,0
2019-06-10,96.650002,97.580002,96.580002,97.570000,97.570000,0
2019-06-17,97.519997,97.769997,96.150002,96.220001,96.220001,0
2019-06-24,96.180000,96.389999,95.839996,96.129997,96.129997,0
2019-07-01,96.250000,97.440002,96.250000,97.250000,97.250000,0
2019-07-08,97.230003,97.589996,96.790001,96.809998,96.809998,0
2019-07-15,96.839996,97.440002,96.669998,97.150002,97.150002,0
2019-07-22,97.150002,98.089996,97.129997,98.010002,98.010002,0
2019-07-29,97.989998,98.930000,97.900002,98.099998,98.099998,0
2019-08-05,98.110001,98.139999,97.209999,97.489998,97.489998,0
2019-08-12,97.540001,98.339996,97.320000,98.139999,98.139999,0
2019-08-19,98.169998,98.449997,97.589996,97.639999,97.639999,0
2019-08-26,97.589996,99.019997,97.480003,98.919998,98.919998,0
2019-09-02,98.830002,99.370003,98.010002,98.389999,98.389999,0
2019-09-09,98.419998,99.099998,97.860001,98.260002,98.260002,0
2019-09-16,98.120003,98.739998,98.029999,98.510002,98.510002,0
2019-09-23,98.510002,99.309998,98.290001,99.110001,99.110001,0
2019-09-30,99.120003,99.669998,98.639999,98.809998,98.809998,0
2019-10-07,98.820000,99.250000,98.199997,98.300003,98.300003,0
2019-10-14,98.360001,98.650002,97.139999,97.279999,97.279999,0
2019-10-21,97.339996,97.900002,97.150002,97.830002,97.830002,0
2019-10-28,97.849998,98.000000,97.110001,97.239998,97.239998,0
2019-11-04,97.220001,98.400002,97.169998,98.349998,98.349998,0
2019-11-11,98.370003,98.449997,97.959999,98.000000,98.000000,0
2019-11-18,97.980003,98.309998,97.680000,98.269997,98.269997,0
2019-11-25,98.269997,98.540001,98.169998,98.269997,98.269997,0
2019-12-02,98.269997,98.379997,97.360001,97.699997,97.699997,0
2019-12-09,97.680000,97.720001,96.720001,97.169998,97.169998,0
2019-12-16,97.180000,97.760002,96.930000,97.709999,97.709999,0
2019-12-23,97.669998,97.820000,96.919998,96.919998,96.919998,0
2019-12-30,97.000000,97.110001,96.360001,96.839996,96.839996,0
2020-01-06,96.900002,97.580002,96.540001,97.360001,97.360001,0
2020-01-13,97.349998,97.660004,97.089996,97.610001,97.610001,0
2020-01-20,97.639999,97.949997,97.389999,97.849998,97.849998,0
2020-01-27,97.879997,98.190002,97.360001,97.389999,97.389999,0
2020-02-03,97.370003,98.709999,97.370003,98.680000,98.680000,0
2020-02-10,98.699997,99.160004,98.599998,99.120003,99.120003,0
2020-02-17,99.190002,99.910004,99.139999,99.260002,99.260002,0
2020-02-24,99.339996,99.639999,97.959999,98.129997,98.129997,0
2020-03-02,98.080002,98.089996,95.709999,95.949997,95.949997,0
2020-03-09,95.790001,98.809998,94.650002,98.750000,98.750000,0
2020-03-16,98.470001,102.989998,97.449997,102.820000,102.820000,0
2020-03-23,101.949997,102.980003,98.269997,98.370003,98.370003,0
2020-03-30,98.309998,100.849998,98.290001,100.580002,100.580002,0
2020-04-06,100.660004,100.930000,99.360001,99.470001,99.470001,0
2020-04-13,99.489998,100.300003,98.820000,99.779999,99.779999,0
2020-04-20,99.709999,100.870003,99.650002,100.379997,100.379997,0
2020-04-27,100.230003,100.320000,98.779999,98.800003,98.800003,0
2020-05-04,99.089996,100.400002,99.089996,99.730003,99.730003,0
2020-05-11,99.669998,100.559998,99.580002,100.400002,100.400002,0
2020-05-18,100.360001,100.470001,99.000000,99.860001,99.860001,0
2020-05-25,99.769997,99.769997,97.949997,98.339996,98.339996,0
2020-06-01,98.300003,98.320000,96.440002,96.940002,96.940002,0
2020-06-08,96.839996,97.449997,95.720001,97.320000,97.320000,0
2020-06-15,97.089996,97.720001,96.430000,97.620003,97.620003,0
2020-06-22,97.660004,97.739998,96.389999,97.500000,97.500000,0
2020-06-29,97.500000,97.800003,96.809998,97.320000,97.320000,0
2020-07-06,97.150002,97.199997,96.239998,96.650002,96.650002,0
2020-07-13,96.660004,96.699997,95.779999,95.940002,95.940002,0
2020-07-20,96.010002,96.180000,94.330002,94.440002,94.440002,0
2020-07-27,94.349998,94.419998,92.550003,93.489998,93.489998,0
2020-08-03,93.459999,93.989998,92.519997,93.440002,93.440002,0
2020-08-10,93.389999,93.910004,92.930000,93.099998,93.099998,0
2020-08-17,93.099998,93.470001,92.129997,93.250000,93.250000,0
2020-08-24,93.199997,93.360001,92.199997,92.370003,92.370003,0
2020-08-31,92.300003,93.239998,91.750000,92.720001,92.720001,0
2020-09-07,93.050003,93.660004,92.699997,93.330002,93.330002,0
2020-09-14,93.290001,93.589996,92.769997,92.930000,92.930000,0
2020-09-21,93.010002,94.739998,92.750000,94.580002,94.580002,0
2020-09-28,94.580002,94.639999,93.529999,93.839996,93.839996,0
2020-10-05,93.809998,93.900002,93.010002,93.059998,93.059998,0
2020-10-12,93.059998,93.900002,93.010002,93.680000,93.680000,0
2020-10-19,93.720001,93.769997,92.470001,92.769997,92.769997,0
2020-10-26,92.760002,94.099998,92.739998,94.040001,94.040001,0
2020-11-02,93.889999,94.300003,92.180000,92.230003,92.230003,0
2020-11-09,92.239998,93.209999,92.129997,92.760002,92.760002,0
2020-11-16,92.720001,92.839996,92.209999,92.389999,92.389999,0
2020-11-23,92.400002,92.800003,91.760002,91.790001,91.790001,0
2020-11-30,91.779999,92.050003,90.480003,90.699997,90.699997,0
2020-12-07,90.809998,91.239998,90.620003,90.980003,90.980003,0
2020-12-14,90.980003,90.980003,89.730003,90.019997,90.019997,0
2020-12-21,89.919998,91.019997,89.919998,90.330002,90.330002,0
2020-12-28,90.220001,90.379997,89.519997,89.940002,89.940002,0
2021-01-04,89.930000,90.250000,89.209999,90.099998,90.099998,0
2021-01-11,90.070000,90.800003,89.919998,90.779999,90.779999,0
2021-01-18,90.730003,90.760002,90.050003,90.239998,90.239998,0
2021-01-25,90.230003,90.879997,90.080002,90.580002,90.580002,0
2021-02-01,90.529999,91.599998,90.500000,91.040001,91.040001,0
2021-02-08,91.000000,91.239998,90.250000,90.480003,90.480003,0
2021-02-15,90.449997,91.059998,90.120003,90.360001,90.360001,0
2021-02-22,90.339996,90.970001,89.680000,90.930000,90.930000,0
2021-03-01,90.930000,92.190002,90.629997,91.980003,91.980003,0
2021-03-08,91.989998,92.500000,91.370003,91.680000,91.680000,0
2021-03-15,91.660004,92.169998,91.300003,91.919998,91.919998,0
2021-03-22,91.739998,92.919998,91.709999,92.769997,92.769997,0
2021-03-29,92.720001,93.440002,92.720001,92.930000,92.930000,0
2021-04-05,93.010002,93.110001,92.000000,92.160004,92.160004,0
2021-04-12,92.180000,92.330002,91.489998,91.559998,91.559998,0
2021-04-19,91.540001,91.750000,90.809998,90.860001,90.860001,0
2021-04-26,90.830002,91.320000,90.419998,91.279999,91.279999,0
2021-05-03,91.300003,91.440002,90.190002,90.230003,90.230003,0
2021-05-10,90.230003,90.910004,89.980003,90.320000,90.320000,0
2021-05-17,90.300003,90.430000,89.650002,90.019997,90.019997,0
2021-05-24,90.029999,90.440002,89.540001,90.029999,90.029999,0
2021-05-31,90.059998,90.629997,89.660004,90.139999,90.139999,0
2021-06-07,90.129997,90.610001,89.839996,90.559998,90.559998,0
2021-06-14,90.510002,92.410004,90.349998,92.230003,92.230003,0
2021-06-21,92.320000,92.370003,91.510002,91.809998,91.809998,0
2021-06-28,91.809998,92.739998,91.699997,92.230003,92.230003,0
2021-07-05,92.239998,92.849998,92.000000,92.129997,92.129997,0
2021-07-12,92.099998,92.830002,92.080002,92.690002,92.690002,0
2021-07-19,92.709999,93.190002,92.510002,92.910004,92.910004,0
2021-07-26,92.910004,92.959999,91.779999,92.169998,92.169998,0
2021-08-02,92.089996,92.839996,91.820000,92.800003,92.800003,0
2021-08-09,92.779999,93.190002,92.470001,92.519997,92.519997,0
2021-08-16,92.519997,93.730003,92.480003,93.500000,93.500000,0
2021-08-23,93.459999,93.510002,92.629997,92.690002,92.690002,0
2021-08-30,92.680000,92.790001,91.949997,92.040001,92.040001,0
2021-09-06,92.120003,92.860001,92.099998,92.580002,92.580002,0
2021-09-13,92.610001,93.250000,92.320000,93.199997,93.199997,0
2021-09-20,93.250000,93.519997,92.980003,93.330002,93.330002,0
2021-09-27,93.279999,94.500000,93.209999,94.040001,94.040001,0
2021-10-04,94.070000,94.449997,93.680000,94.070000,94.070000,0
2021-10-11,94.099998,94.559998,93.760002,93.940002,93.940002,0
2021-10-18,93.949997,94.169998,93.500000,93.610001,93.610001,0
2021-10-25,93.660004,94.300003,93.279999,94.120003,94.120003,0
2021-11-01,94.129997,94.620003,93.820000,94.320000,94.320000,0
2021-11-08,94.250000,95.269997,93.879997,95.129997,95.129997,0
2021-11-15,95.120003,96.239998,94.970001,96.070000,96.070000,0
2021-11-22,96.070000,96.940002,95.750000,96.089996,96.089996,0
2021-11-29,96.139999,96.639999,95.519997,96.120003,96.120003,0
2021-12-06,96.150002,96.589996,95.849998,96.050003,96.050003,0
2021-12-13,96.050003,96.910004,95.849998,96.570000,96.570000,0
2021-12-20,96.669998,96.690002,95.989998,96.019997,96.019997,0
2021-12-27,96.150002,96.400002,95.570000,95.669998,95.669998,0
2022-01-03,95.669998,96.459999,95.629997,95.739998,95.739998,0
2022-01-10,95.739998,96.230003,94.629997,95.169998,95.169998,0
2022-01-17,95.169998,95.860001,95.040001,95.639999,95.639999,0
2022-01-24,95.639999,97.440002,95.629997,97.269997,97.269997,0
2022-01-31,97.220001,97.300003,95.139999,95.480003,95.480003,0
2022-02-07,95.480003,96.110001,95.169998,96.080002,96.080002,0
2022-02-14,96.029999,96.440002,95.680000,96.040001,96.040001,0
2022-02-21,96.080002,97.739998,95.839996,96.620003,96.620003,0
2022-02-28,96.540001,98.919998,96.540001,98.650002,98.650002,0
2022-03-07,98.570000,99.419998,97.709999,99.120003,99.120003,0
2022-03-14,99.129997,99.290001,97.730003,98.230003,98.230003,0
2022-03-21,98.239998,98.970001,98.160004,98.809998,98.809998,0
2022-03-28,98.809998,99.370003,97.690002,98.629997,98.629997,0
2022-04-04,98.570000,100.190002,98.519997,99.800003,99.800003,0
2022-04-11,99.839996,100.760002,99.570000,100.500000,100.500000,0
2022-04-18,100.500000,101.330002,99.820000,101.220001,101.220001,0
2022-04-25,101.120003,103.930000,101.040001,102.959999,102.959999,0
2022-05-02,103.209999,104.059998,102.349998,103.660004,103.660004,0
2022-05-09,103.660004,105.010002,103.370003,104.559998,104.559998,0
2022-05-16,104.470001,104.639999,102.660004,103.150002,103.150002,0
2022-05-23,103.029999,103.050003,101.430000,101.669998,101.669998,0
2022-05-30,101.639999,102.730003,101.300003,102.139999,102.139999,0
2022-06-06,102.169998,104.230003,101.849998,104.150002,104.150002,0
2022-06-13,104.209999,105.790001,103.419998,104.699997,104.699997,0
2022-06-20,104.650002,104.949997,103.860001,104.190002,104.190002,0
2022-06-27,104.120003,105.639999,103.669998,105.139999,105.139999,0
2022-07-04,105.120003,107.790001,104.820000,107.010002,107.010002,0
2022-07-11,106.919998,109.290001,106.919998,108.059998,108.059998,0
2022-07-18,107.980003,108.040001,106.110001,106.730003,106.730003,0
2022-07-25,106.550003,107.430000,105.540001,105.900002,105.900002,0
2022-08-01,105.830002,106.930000,105.050003,106.620003,106.620003,0
2022-08-08,106.580002,106.800003,104.639999,105.629997,105.629997,0
2022-08-15,105.669998,108.220001,105.550003,108.169998,108.169998,0
2022-08-22,108.099998,109.269997,107.589996,108.800003,108.800003,0
2022-08-29,108.839996,109.980003,108.290001,109.529999,109.529999,0
2022-09-05,109.599998,110.790001,108.360001,109.000000,109.000000,0
2022-09-12,108.599998,110.260002,107.680000,109.760002,109.760002,0
2022-09-19,109.639999,113.230003,109.360001,113.190002,113.190002,0
2022-09-26,113.019997,114.779999,111.580002,112.120003,112.120003,0
2022-10-03,112.169998,112.879997,110.059998,112.800003,112.800003,0
2022-10-10,112.750000,113.919998,112.150002,113.309998,113.309998,0
2022-10-17,113.220001,113.940002,111.699997,112.010002,112.010002,0
2022-10-24,111.879997,112.529999,109.540001,110.669998,110.669998,0
2022-10-31,110.669998,113.150002,110.430000,110.879997,110.879997,0
2022-11-07,110.790001,111.269997,106.279999,106.290001,106.290001,0
2022-11-14,106.480003,107.269997,105.339996,106.930000,106.930000,0
2022-11-21,106.970001,107.989998,105.629997,105.959999,105.959999,0
2022-11-28,106.059998,107.199997,104.379997,104.550003,104.550003,0
2022-12-05,104.510002,105.820000,104.110001,104.809998,104.809998,0
2022-12-12,104.930000,105.250000,103.449997,104.699997,104.699997,0
2022-12-19,104.839996,104.930000,103.750000,104.309998,104.309998,0
2022-12-26,104.120003,104.559998,103.389999,103.519997,103.519997,0
2023-01-02,103.660004,105.629997,103.470001,103.879997,103.879997,0
2023-01-09,103.910004,103.940002,101.989998,102.199997,102.199997,0
2023-01-16,102.180000,102.900002,101.529999,102.010002,102.010002,0
2023-01-23,101.989998,102.430000,101.500000,101.930000,101.930000,0
2023-01-30,101.919998,103.010002,100.820000,102.919998,102.919998,0
2023-02-06,103.010002,103.959999,102.639999,103.629997,103.629997,0
2023-02-13,103.580002,104.669998,102.589996,103.860001,103.860001,0
2023-02-20,103.879997,105.320000,103.760002,105.209999,105.209999,0
2023-02-27,105.260002,105.360001,104.089996,104.519997,104.519997,0
2023-03-06,104.529999,105.879997,104.040001,104.580002,104.580002,0
2023-03-13,104.389999,105.099998,103.440002,103.709999,103.709999,0
2023-03-20,103.860001,103.959999,101.919998,103.120003,103.120003,0
2023-03-27,103.120003,103.230003,102.050003,102.510002,102.510002,0
2023-04-03,102.589996,103.059998,101.419998,102.089996,102.089996,0
2023-04-10,102.099998,102.809998,100.790001,101.550003,101.550003,0
2023-04-17,101.580002,102.230003,101.529999,101.820000,101.820000,0
2023-04-24,101.720001,102.169998,101.010002,101.669998,101.669998,0
2023-05-01,101.669998,102.400002,101.029999,101.209999,101.209999,0
2023-05-08,101.279999,102.709999,101.040001,102.680000,102.680000,0
2023-05-15,102.709999,103.620003,102.199997,103.199997,103.199997,0
2023-05-22,103.190002,104.419998,102.959999,104.209999,104.209999,0
2023-05-29,104.300003,104.699997,103.379997,104.019997,104.019997,0
2023-06-05,104.040001,104.400002,103.300003,103.559998,103.559998,0
2023-06-12,103.550003,103.760002,102.010002,102.300003,102.300003,0
2023-06-19,102.480003,103.169998,101.919998,102.900002,102.900002,0
2023-06-26,102.830002,103.540001,102.320000,102.910004,102.910004,0
2023-07-03,102.919998,103.570000,102.230003,102.269997,102.269997,0
2023-07-10,102.290001,102.559998,99.580002,99.910004,99.910004,0
2023-07-17,99.959999,101.190002,99.589996,101.070000,101.070000,0
2023-07-24,101.089996,102.040001,100.550003,101.620003,101.620003,0
2023-07-31,101.699997,102.839996,101.529999,102.019997,102.019997,0
2023-08-07,102.010002,102.910004,101.779999,102.839996,102.839996,0
2023-08-14,102.849998,103.680000,102.769997,103.379997,103.379997,0
2023-08-21,103.430000,104.449997,103.010002,104.080002,104.080002,0
2023-08-28,104.190002,104.360001,102.940002,104.239998,104.239998,0
2023-09-04,104.260002,105.160004,104.029999,105.089996,105.089996,0
2023-09-11,104.940002,105.440002,104.419998,105.320000,105.320000,0
2023-09-18,105.300003,105.779999,104.669998,105.580002,105.580002,0
2023-09-25,105.570000,106.839996,105.519997,106.169998,106.169998,0
2023-10-02,106.169998,107.349998,105.949997,106.040001,106.040001,0
2023-10-09,106.099998,106.790001,105.540001,106.650002,106.650002,0
2023-10-16,106.580002,106.669998,105.980003,106.160004,106.160004,0
2023-10-23,106.160004,106.889999,105.360001,106.559998,106.559998,0
2023-10-30,106.580002,107.110001,104.940002,105.019997,105.019997,0
2023-11-06,105.070000,106.010002,104.849998,105.860001,105.860001,0
2023-11-13,105.800003,105.959999,103.809998,103.820000,103.820000,0
2023-11-20,103.820000,104.209999,103.180000,103.400002,103.400002,0
2023-11-27,103.419998,103.720001,102.470001,103.269997,103.269997,0
2023-12-04,103.190002,104.260002,103.059998,104.010002,104.010002,0
2023-12-11,103.980003,104.260002,101.769997,102.550003,102.550003,0
2023-12-18,102.589996,102.629997,101.430000,101.699997,101.699997,0
2023-12-25,101.650002,101.769997,100.620003,101.330002,101.330002,0
2024-01-01,101.419998,103.099998,101.339996,102.410004,102.410004,0
2024-01-08,102.440002,102.760002,102.080002,102.400002,102.400002,0
2024-01-15,102.440002,103.690002,102.309998,103.290001,103.290001,0
2024-01-22,103.239998,103.820000,102.769997,103.470001,103.470001,0
2024-01-29,103.470001,104.040001,102.900002,103.919998,103.919998,0
2024-02-05,103.989998,104.599998,103.940002,104.080002,104.080002,0
2024-02-12,104.080002,104.980003,103.900002,104.300003,104.300003,0
2024-02-19,104.279999,104.410004,103.430000,103.940002,103.940002,0
2024-02-26,103.959999,104.290001,103.610001,103.860001,103.860001,0
2024-03-04,103.889999,103.959999,102.360001,102.739998,102.739998,0
2024-03-11,102.739998,103.489998,102.639999,103.430000,103.430000,0
2024-03-18,103.449997,104.500000,103.169998,104.430000,104.430000,0
2024-03-25,104.430000,104.730003,104.010002,104.550003,104.550003,0
2024-04-01,104.489998,105.099998,103.919998,104.300003,104.300003,0
2024-04-08,104.290001,106.110001,103.879997,106.040001,106.040001,0
2024-04-15,106.010002,106.519997,105.739998,106.150002,106.150002,0
2024-04-22,106.120003,106.400002,105.410004,105.940002,105.940002,0
2024-04-29,106.080002,106.489998,104.519997,105.029999,105.029999,0
2024-05-06,105.080002,105.739998,104.870003,105.309998,105.309998,0
2024-05-13,105.309998,105.459999,104.080002,104.449997,104.449997,0
2024-05-20,104.500000,105.120003,104.389999,104.720001,104.720001,0
2024-05-27,104.580002,105.180000,104.339996,104.669998,104.669998,0
2024-06-03,104.625000,104.766998,104.044998,104.046997,104.046997,0
