Ano,Mes,Taxa
2012,mar,8.0
2012,abr,7.8
2012,mai,7.7
2012,jun,7.6
2012,jul,7.5
2012,ago,7.4
2012,set,7.1
2012,out,7.0
2012,nov,6.8
2012,dez,6.9
2013,jan,7.3
2013,fev,7.8
2013,mar,8.1
2013,abr,7.9
2013,mai,7.7
2013,jun,7.5
2013,jul,7.4
2013,ago,7.2
2013,set,7.0
2013,out,6.8
2013,nov,6.6
2013,dez,6.3
2014,jan,6.5
2014,fev,6.8
2014,mar,7.2
2014,abr,7.2
2014,mai,7.1
2014,jun,6.9
2014,jul,7.0
2014,ago,7.0
2014,set,6.9
2014,out,6.7
2014,nov,6.6
2014,dez,6.6
2015,jan,6.9
2015,fev,7.5
2015,mar,8.0
2015,abr,8.1
2015,mai,8.3
2015,jun,8.4
2015,jul,8.7
2015,ago,8.9
2015,set,9.0
2015,out,9.1
2015,nov,9.1
2015,dez,9.1
2016,jan,9.6
2016,fev,10.3
2016,mar,11.1
2016,abr,11.3
2016,mai,11.3
2016,jun,11.4
2016,jul,11.7
2016,ago,11.9
2016,set,11.9
2016,out,11.9
2016,nov,12.0
2016,dez,12.2
2017,jan,12.7
2017,fev,13.3
2017,mar,13.9
2017,abr,13.7
2017,mai,13.4
2017,jun,13.1
2017,jul,12.9
2017,ago,12.7
2017,set,12.5
2017,out,12.3
2017,nov,12.1
2017,dez,11.9
2018,jan,12.3
2018,fev,12.7
2018,mar,13.2
2018,abr,13.0
2018,mai,12.8
2018,jun,12.6
2018,jul,12.4
2018,ago,12.3
2018,set,12.0
2018,out,11.9
2018,nov,11.7
2018,dez,11.7
2019,jan,12.2
2019,fev,12.6
2019,mar,12.8
2019,abr,12.6
2019,mai,12.4
2019,jun,12.1
2019,jul,12.0
2019,ago,11.9
2019,set,11.9
2019,out,11.8
2019,nov,11.3
2019,dez,11.1
2020,jan,11.4
2020,fev,11.8
2020,mar,12.4
2020,abr,12.7
2020,mai,13.1
2020,jun,13.6
2020,jul,14.1
2020,ago,14.8
2020,set,14.9
2020,out,14.6
2020,nov,14.4
2020,dez,14.2
2021,jan,14.5
2021,fev,14.6
2021,mar,14.9
2021,abr,14.8
2021,mai,14.7
2021,jun,14.2
2021,jul,13.7
2021,ago,13.1
2021,set,12.6
2021,out,12.1
2021,nov,11.6
2021,dez,11.1
2022,jan,11.2
2022,fev,11.2
2022,mar,11.1
2022,abr,10.5
2022,mai,9.8
2022,jun,9.3
2022,jul,9.1
2022,ago,8.9
2022,set,8.7
2022,out,8.3
2022,nov,8.1
2022,dez,7.9
2023,jan,8.4
2023,fev,8.6
2023,mar,8.8
2023,abr,8.5
2023,mai,8.3
2023,jun,8.0
2023,jul,7.9
2023,ago,7.8
2023,set,7.7
2023,out,7.6
2023,nov,7.5
2023,dez,7.4
2024,jan,7.6
2024,fev,7.8
2024,mar,7.9
2024,abr,7.5
